	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
f_ca_menin																Meningomyelocele/Spina Bifida R	Meningomyelocele/Spina Bifida (ca_mnsb) R	Meningomyelocele/Spina Bifida (ca_mnsb) R	Meningomyelocele/Spina Bifida (ca_mnsb) R	Meningomyelocele/Spina Bifida (ca_mnsb) R	Meningomyelocele/Spina Bifida (ca_mnsb) R	Meningomyelocele/Spina Bifida (ca_mnsb) R	Meningomyelocele/Spina Bifida (ca_mnsb) R	Meningomyelocele/Spina Bifida (ca_mnsb) R	Reporting Flag for Meningomyelocele/Spina Bifida 0 Non-Reporting	Reporting Flag for Meningomyelocele/Spina Bifida 0 Non-Reporting	Reporting Flag for Meningomyelocele/Spina Bifida 0 Non-Reporting	Reporting Flag for Meningomyelocele/Spina Bifida 0 Non-Reporting	Reporting Flag for Meningomyelocele/Spina Bifida 0 Non-Reporting
f_ca_ompha																Omphalocele R	Omphalocele (ca_omph) R	Omphalocele (ca_omph) R	Omphalocele (ca_omph) R	Omphalocele (ca_omph) R	Omphalocele (ca_omph) R	Omphalocele (ca_omph) R	Omphalocele (ca_omph) R	Omphalocele (ca_omph) R	Reporting Flag for Omphalocele 0 Non-Reporting	Reporting Flag for Omphalocele 0 Non-Reporting	Reporting Flag for Omphalocele 0 Non-Reporting	Reporting Flag for Omphalocele 0 Non-Reporting	Reporting Flag for Omphalocele 0 Non-Reporting
f_cigs_0																				Cigarettes before Pregnancy (cig_0) R	Cigarettes before Pregnancy (cig_0) R	Cigarettes before Pregnancy (cig_0) R	Cigarettes before Pregnancy (cig_0) R	Cigarettes before Pregnancy (cig_0) R	Reporting Flag for Cigarettes before Pregnancy 0 Non-Reporting	Reporting Flag for Cigarettes before Pregnancy 0 Non-Reporting	Reporting Flag for Cigarettes before Pregnancy 0 Non-Reporting	Reporting Flag for Cigarettes before Pregnancy 0 Non-Reporting	Reporting Flag for Cigarettes before Pregnancy 0 Non-Reporting
f_cigs_1																				Cigarettes 1st Trimester (cig_1) R	Cigarettes 1st Trimester (cig_1) R	Cigarettes 1st Trimester (cig_1) R	Cigarettes 1st Trimester (cig_1) R	Cigarettes 1st Trimester (cig_1) R	Reporting Flag for Cigarettes 1st Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 1st Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 1st Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 1st Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 1st Trimester 0 Non-Reporting
f_cigs_2																				Cigarettes 2nd Trimester (cig_2) R	Cigarettes 2nd Trimester (cig_2) R	Cigarettes 2nd Trimester (cig_2) R	Cigarettes 2nd Trimester (cig_2) R	Cigarettes 2nd Trimester (cig_2) R	Reporting Flag for Cigarettes 2nd Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 2nd Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 2nd Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 2nd Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 2nd Trimester 0 Non-Reporting
f_cigs_3																				Cigarettes 3rd Trimester (cig_3) R	Cigarettes 3rd Trimester (cig_3) R	Cigarettes 3rd Trimester (cig_3) R	Cigarettes 3rd Trimester (cig_3) R	Cigarettes 3rd Trimester (cig_3) R	Reporting Flag for Cigarettes 3rd Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 3rd Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 3rd Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 3rd Trimester 0 Non-Reporting	Reporting Flag for Cigarettes 3rd Trimester 0 Non-Reporting
f_clinest														Clinical Estimate of Gestation U;R	Clinical Estimate of Gestation U;R	Clinical Estimate of Gestation U;R	Clinical Estimate of Gestation (estgest) U;R	Clinical Estimate of Gestation (estgest) U;R	Clinical Estimate of Gestation (estgest) U;R	Clinical Estimate of Gestation (estgest) U;R	Clinical Estimate of Gestation (estgest) U;R	Clinical Estimate of Gestation (estgest) U;R	Clinical Estimate of Gestation (estgest) U;R	Clinical Estimate of Gestation (estgest) U;R					
f_dmeth_rec																									Reporting Flag for Method of Delivery Recode 0 Non-Reporting	Reporting Flag for Method of Delivery Recode 0 Non-Reporting	Reporting Flag for Method of Delivery Recode 0 Non-Reporting	Reporting Flag for Method of Delivery Recode 0 Non-Reporting	Reporting Flag for Method of Delivery Recode 0 Non-Reporting
f_dwgt																				Delivery Weight (dwgt) R	Delivery Weight (dwgt) R	Delivery Weight (dwgt) R	Delivery Weight (dwgt) R	Delivery Weight (dwgt) R	Reporting Flag for Delivery Weight 0 Non-Reporting	Reporting Flag for Delivery Weight 0 Non-Reporting	Reporting Flag for Delivery Weight 0 Non-Reporting	Reporting Flag for Delivery Weight 0 Non-Reporting	Reporting Flag for Delivery Weight 0 Non-Reporting
f_facility																				Birth Place (Revised) (bfacil	Birth Place (Revised) (bfacil	Birth Place (Revised) (bfacil	Birth Place (Revised) (bfacil	Birth Place (Revised) (bfacil	Reporting Flag for Birth Place 0 Non-Reporting	Reporting Flag for Birth Place 0 Non-Reporting	Reporting Flag for Birth Place 0 Non-Reporting	Reporting Flag for Birth Place 0 Non-Reporting	Reporting Flag for Birth Place 0 Non-Reporting
f_feduc																				Education of Father (feduc) R	Education of Father (feduc) R	Education of Father (feduc) R	Education of Father (feduc) R	Education of Father (feduc) R					
f_fhisp																									Reporting Flag for Father's Origin 0 Non-Reporting	Reporting Flag for Father's Origin 0 Non-Reporting	Reporting Flag for Father's Origin 0 Non-Reporting	Reporting Flag for Father's Origin 0 Non-Reporting	Reporting Flag for Father's Origin 0 Non-Reporting
f_forigin														Origin of Father U;R	Origin of Father U;R	Origin of Father U;R	Origin of Father (ufhisp	Origin of Father (ufhisp	Origin of Father (ufhisp	Origin of Father (ufhisp	Origin of Father (ufhisp	Origin of Father (ufhisp	Origin of Father (ufhisp	Origin of Father (ufhisp					
f_ilpcv_dob																				Interval Between Last Prenatal Care Visit &amp; Date of Delivery (ilpcv_dob) R	Interval Between Last Prenatal Care Visit &amp; Date of Delivery (ilpcv_dob) R	Interval Between Last Prenatal Care Visit &amp; Date of Delivery (ilpcv_dob) R	Interval Between Last Prenatal Care Visit &amp; Date of Delivery (ilpcv_dob) R	Interval Between Last Prenatal Care Visit &amp; Date of Delivery (ilpcv_dob) R					
f_ip_chlam																						Chlamydia (ip_chlam) R	Chlamydia (ip_chlam) R	Chlamydia (ip_chlam) R	Reporting Flag for Chlamydia 0 Non-Reporting	Reporting Flag for Chlamydia 0 Non-Reporting	Reporting Flag for Chlamydia 0 Non-Reporting	Reporting Flag for Chlamydia 0 Non-Reporting	Reporting Flag for Chlamydia 0 Non-Reporting
f_ip_gonor																						Gonorrhea (ip_gonor) R	Gonorrhea (ip_gonor) R	Gonorrhea (ip_gonor) R	Reporting Flag for Gonorrhea 0 Non-Reporting	Reporting Flag for Gonorrhea 0 Non-Reporting	Reporting Flag for Gonorrhea 0 Non-Reporting	Reporting Flag for Gonorrhea 0 Non-Reporting	Reporting Flag for Gonorrhea 0 Non-Reporting
f_ip_hepatb																						Hepatitis B (ip_hepatb) R	Hepatitis B (ip_hepatb) R	Hepatitis B (ip_hepatb) R	Reporting Flag for Hepatitis B 0 Non-Reporting	Reporting Flag for Hepatitis B 0 Non-Reporting	Reporting Flag for Hepatitis B 0 Non-Reporting	Reporting Flag for Hepatitis B 0 Non-Reporting	Reporting Flag for Hepatitis B 0 Non-Reporting
f_ip_hepatc																						Hepatitis C (ip_hepatc) R	Hepatitis C (ip_hepatc) R	Hepatitis C (ip_hepatc) R	Reporting Flag for Hepatitis C 0 Non-Reporting	Reporting Flag for Hepatitis C 0 Non-Reporting	Reporting Flag for Hepatitis C 0 Non-Reporting	Reporting Flag for Hepatitis C 0 Non-Reporting	Reporting Flag for Hepatitis C 0 Non-Reporting
f_ip_syph																						Syphilis (ip_syph) R	Syphilis (ip_syph) R	Syphilis (ip_syph) R	Reporting Flag for Syphilis 0 Non-Reporting	Reporting Flag for Syphilis 0 Non-Reporting	Reporting Flag for Syphilis 0 Non-Reporting	Reporting Flag for Syphilis 0 Non-Reporting	Reporting Flag for Syphilis 0 Non-Reporting
f_ld_anes																									Reporting Flag for Anesthesia 0 Non-Reporting	Reporting Flag for Anesthesia 0 Non-Reporting	Reporting Flag for Anesthesia 0 Non-Reporting	Reporting Flag for Anesthesia 0 Non-Reporting	Reporting Flag for Anesthesia 0 Non-Reporting
f_ld_anesth																Anesthesia R	Anesthesia (ld_anes) R	Anesthesia (ld_anes) R	Anesthesia (ld_anes) R	Anesthesia (ld_anes) R	Anesthesia (ld_anes) R	Anesthesia (ld_anes) R	Anesthesia (ld_anes) R	Anesthesia (ld_anes) R					
f_ld_antb																									Reporting Flag for Antibiotics 0 Non-Reporting	Reporting Flag for Antibiotics 0 Non-Reporting	Reporting Flag for Antibiotics 0 Non-Reporting	Reporting Flag for Antibiotics 0 Non-Reporting	Reporting Flag for Antibiotics 0 Non-Reporting
f_ld_antibio																Antibiotics R	Antibiotics (ld_anti) R	Antibiotics (ld_anti) R	Antibiotics (ld_anti) R	Antibiotics (ld_anti) R	Antibiotics (ld_anti) R	Antibiotics (ld_anti) R	Antibiotics (ld_anti) R	Antibiotics (ld_anti) R					
f_ld_augm																									Reporting Flag for Augmentation of Labor 0 Non-Reporting	Reporting Flag for Augmentation of Labor 0 Non-Reporting	Reporting Flag for Augmentation of Labor 0 Non-Reporting	Reporting Flag for Augmentation of Labor 0 Non-Reporting	Reporting Flag for Augmentation of Labor 0 Non-Reporting
f_ld_augment																Augmentation of Labor R	Augmentation of Labor (ld_augm) R	Augmentation of Labor (ld_augm) R	Augmentation of Labor (ld_augm) R	Augmentation of Labor (ld_augm) R	Augmentation of Labor (ld_augm) R	Augmentation of Labor (ld_augm) R	Augmentation of Labor (ld_augm) R	Augmentation of Labor (ld_augm) R					
f_ld_chor																									Reporting Flag for Chorioamnionitis 0 Non-Reporting	Reporting Flag for Chorioamnionitis 0 Non-Reporting	Reporting Flag for Chorioamnionitis 0 Non-Reporting	Reporting Flag for Chorioamnionitis 0 Non-Reporting	Reporting Flag for Chorioamnionitis 0 Non-Reporting
f_ld_chorio																Chorioamnionitis R	Chorioamnionitis (ld_chor) R	Chorioamnionitis (ld_chor) R	Chorioamnionitis (ld_chor) R	Chorioamnionitis (ld_chor) R	Chorioamnionitis (ld_chor) R	Chorioamnionitis (ld_chor) R	Chorioamnionitis (ld_chor) R	Chorioamnionitis (ld_chor) R					
f_ld_fintol																Fetal Intolerance R	Fetal Intolerance (ld_fint) R	Fetal Intolerance (ld_fint) R	Fetal Intolerance (ld_fint) R	Fetal Intolerance (ld_fint) R	Fetal Intolerance (ld_fint) R	Fetal Intolerance (ld_fint) R	Fetal Intolerance (ld_fint) R	Fetal Intolerance (ld_fint) R					
f_ld_indl																									Reporting Flag for Induction of Labor 0 Non-Reporting	Reporting Flag for Induction of Labor 0 Non-Reporting	Reporting Flag for Induction of Labor 0 Non-Reporting	Reporting Flag for Induction of Labor 0 Non-Reporting	Reporting Flag for Induction of Labor 0 Non-Reporting
f_ld_induct																Induction of Labor R	Induction of Labor (ld_indl) R	Induction of Labor (ld_indl) R	Induction of Labor (ld_indl) R	Induction of Labor (ld_indl) R	Induction of Labor (ld_indl) R	Induction of Labor (ld_indl) R	Induction of Labor (ld_indl) R	Induction of Labor (ld_indl) R					
f_ld_mecon																Meconium Staining R	Meconium Staining (ld_mecs) R	Meconium Staining (ld_mecs) R	Meconium Staining (ld_mecs) R	Meconium Staining (ld_mecs) R	Meconium Staining (ld_mecs) R	Meconium Staining (ld_mecs) R	Meconium Staining (ld_mecs) R	Meconium Staining (ld_mecs) R					
f_ld_nvrtx																Non-Vertex Presentation R	Non-Vertex Presentation (ld_nvpr) R	Non-Vertex Presentation (ld_nvpr) R	Non-Vertex Presentation (ld_nvpr) R										
f_ld_ster																									Reporting Flag for Steroids 0 Non-Reporting	Reporting Flag for Steroids 0 Non-Reporting	Reporting Flag for Steroids 0 Non-Reporting	Reporting Flag for Steroids 0 Non-Reporting	Reporting Flag for Steroids 0 Non-Reporting
f_ld_steroids																Steroids R	Steroids (ld_ster) R	Steroids (ld_ster) R	Steroids (ld_ster) R	Steroids (ld_ster) R	Steroids (ld_ster) R	Steroids (ld_ster) R	Steroids (ld_ster) R	Steroids (ld_ster) R					
f_m_ht																				Mother's Height (bmi) R	Mother's Height (bmi) R	Mother's Height (bmi) R	Mother's Height (bmi) R	Mother's Height (bmi) R	Reporting Flag for Mother's Height 0 Non-Reporting	Reporting Flag for Mother's Height 0 Non-Reporting	Reporting Flag for Mother's Height 0 Non-Reporting	Reporting Flag for Mother's Height 0 Non-Reporting	Reporting Flag for Mother's Height 0 Non-Reporting
f_mar_g																				Mother's Marital Status (Revised) R	Mother's Marital Status (Revised) R	Mother's Marital Status (Revised) R	Mother's Marital Status (Revised) R	Mother's Marital Status (Revised) R					
f_mar_p																				Paternity Acknowledged (mar_p) R	Paternity Acknowledged (mar_p) R	Paternity Acknowledged (mar_p) R	Paternity Acknowledged (mar_p) R	Paternity Acknowledged (mar_p) R	Reporting Flag for Paternity Acknowledged 0 Non-Reporting	Reporting Flag for Paternity Acknowledged 0 Non-Reporting	Reporting Flag for Paternity Acknowledged 0 Non-Reporting	Reporting Flag for Paternity Acknowledged 0 Non-Reporting	Reporting Flag for Paternity Acknowledged 0 Non-Reporting
f_md_attfor																Attempted Forceps R	Attempted Forceps (me_attf) R	Attempted Forceps (me_attf) R	Attempted Forceps (me_attf) R										
f_md_attvac																Attempted Vacuum R	Attempted Vacuum (me_attv) R	Attempted Vacuum (me_attv) R	Attempted Vacuum (me_attv) R										
f_md_present																Fetal Presentation R	Fetal Presentation (me_pres) R	Fetal Presentation (me_pres) R	Fetal Presentation (me_pres) R	Fetal Presentation (me_pres) R	Fetal Presentation (me_pres) R	Fetal Presentation (me_pres) R	Fetal Presentation (me_pres) R	Fetal Presentation (me_pres) R					
f_md_route																Fetal Route and Method of Delivery R	Fetal Route and Method of Delivery (me_rout) R	Fetal Route and Method of Delivery (me_rout) R	Fetal Route and Method of Delivery (me_rout) R	Fetal Route and Method of Delivery (me_rout) R	Fetal Route and Method of Delivery (me_rout) R	Fetal Route and Method of Delivery (me_rout) R	Fetal Route and Method of Delivery (me_rout) R	Fetal Route and Method of Delivery (me_rout) R					
f_md_trial																Trial of Labor Attempted R	Trial of Labor Attempted (me_trial) R	Trial of Labor Attempted (me_trial) R	Trial of Labor Attempted (me_trial) R	Trial of Labor Attempted (me_trial) R	Trial of Labor Attempted (me_trial) R	Trial of Labor Attempted (me_trial) R	Trial of Labor Attempted (me_trial) R	Trial of Labor Attempted (me_trial) R					
f_me_pres																									Reporting Flag for Fetal Presentation 0 Non-Reporting	Reporting Flag for Fetal Presentation 0 Non-Reporting	Reporting Flag for Fetal Presentation 0 Non-Reporting	Reporting Flag for Fetal Presentation 0 Non-Reporting	Reporting Flag for Fetal Presentation 0 Non-Reporting
f_me_rout																									Reporting Flag for Final Route and Method of Deliver 0 Non-Reporting	Reporting Flag for Final Route and Method of Deliver 0 Non-Reporting	Reporting Flag for Final Route and Method of Deliver 0 Non-Reporting	Reporting Flag for Final Route and Method of Deliver 0 Non-Reporting	Reporting Flag for Final Route and Method of Deliver 0 Non-Reporting
f_me_trial																									Reporting Flag for Trial of Labor Attempted 0 Non-Reporting	Reporting Flag for Trial of Labor Attempted 0 Non-Reporting	Reporting Flag for Trial of Labor Attempted 0 Non-Reporting	Reporting Flag for Trial of Labor Attempted 0 Non-Reporting	Reporting Flag for Trial of Labor Attempted 0 Non-Reporting
f_med														Mother's Education (dmeduc	Mother's Education (dmeduc	Mother's Education (dmeduc	Mother's Education (dmeduc	Mother's Education (dmeduc	Mother's Education (dmeduc										
f_meduc														Education of Mother R	Education of Mother R	Education of Mother R	Education of Mother (meduc) R	Education of Mother (meduc) R	Education of Mother (meduc) R	Education of Mother (meduc) R	Education of Mother (meduc) R	Education of Mother (meduc) R	Education of Mother (meduc) R	Education of Mother (meduc) R	Reporting Flag for Education of Mother 0 Non-Reporting	Reporting Flag for Education of Mother 0 Non-Reporting	Reporting Flag for Education of Mother 0 Non-Reporting	Reporting Flag for Education of Mother 0 Non-Reporting	Reporting Flag for Education of Mother 0 Non-Reporting
f_mhisp																									Reporting Flag for Mother's Origin 0 Non-Reporting	Reporting Flag for Mother's Origin 0 Non-Reporting	Reporting Flag for Mother's Origin 0 Non-Reporting	Reporting Flag for Mother's Origin 0 Non-Reporting	Reporting Flag for Mother's Origin 0 Non-Reporting
f_mm_																									PLAC Reporting Flag for Perineal Laceration 0 Non-Reporting	PLAC Reporting Flag for Perineal Laceration 0 Non-Reporting	PLAC Reporting Flag for Perineal Laceration 0 Non-Reporting	PLAC Reporting Flag for Perineal Laceration 0 Non-Reporting	PLAC Reporting Flag for Perineal Laceration 0 Non-Reporting
f_mm_aicu																									Reporting Flag for Admission to Intensive Care 0 Non-Reporting	Reporting Flag for Admission to Intensive Care 0 Non-Reporting	Reporting Flag for Admission to Intensive Care 0 Non-Reporting	Reporting Flag for Admission to Intensive Care 0 Non-Reporting	Reporting Flag for Admission to Intensive Care 0 Non-Reporting
f_mm_icu																				Admission to Intensive Care (mm_icu) R	Admission to Intensive Care (mm_icu) R	Admission to Intensive Care (mm_icu) R	Admission to Intensive Care (mm_icu) R	Admission to Intensive Care (mm_icu) R					
f_mm_lacer																				Perineal Laceration (mm_lacer) R	Perineal Laceration (mm_lacer) R	Perineal Laceration (mm_lacer) R	Perineal Laceration (mm_lacer) R	Perineal Laceration (mm_lacer) R					
f_mm_mtr																									Reporting Flag for Maternal Transfusion 0 Non-Reporting	Reporting Flag for Maternal Transfusion 0 Non-Reporting	Reporting Flag for Maternal Transfusion 0 Non-Reporting	Reporting Flag for Maternal Transfusion 0 Non-Reporting	Reporting Flag for Maternal Transfusion 0 Non-Reporting
f_mm_mtrans																				Maternal Transfusion (mm_mtrans) R	Maternal Transfusion (mm_mtrans) R	Maternal Transfusion (mm_mtrans) R	Maternal Transfusion (mm_mtrans) R	Maternal Transfusion (mm_mtrans) R					
f_mm_or																				Unplanned Operating Room Procedure (mm_or) R	Unplanned Operating Room Procedure (mm_or) R	Unplanned Operating Room Procedure (mm_or) R	Unplanned Operating Room Procedure (mm_or) R	Unplanned Operating Room Procedure (mm_or) R					
f_mm_rupt																									Reporting Flag for Ruptured Uterus 0 Non-Reporting	Reporting Flag for Ruptured Uterus 0 Non-Reporting	Reporting Flag for Ruptured Uterus 0 Non-Reporting	Reporting Flag for Ruptured Uterus 0 Non-Reporting	Reporting Flag for Ruptured Uterus 0 Non-Reporting
f_mm_ruptur																				Ruptured Uterus (mm_ruptur) R	Ruptured Uterus (mm_ruptur) R	Ruptured Uterus (mm_ruptur) R	Ruptured Uterus (mm_ruptur) R	Ruptured Uterus (mm_ruptur) R					
f_mm_uhyst																									Reporting Flag for Unplanned Hysterectomy 0 Non-Reporting	Reporting Flag for Unplanned Hysterectomy 0 Non-Reporting	Reporting Flag for Unplanned Hysterectomy 0 Non-Reporting	Reporting Flag for Unplanned Hysterectomy 0 Non-Reporting	Reporting Flag for Unplanned Hysterectomy 0 Non-Reporting
f_mm_uhystr																				Unplanned Hysterectomy (mm_uhystr) R	Unplanned Hysterectomy (mm_uhystr) R	Unplanned Hysterectomy (mm_uhystr) R	Unplanned Hysterectomy (mm_uhystr) R	Unplanned Hysterectomy (mm_uhystr) R					
f_morigin														Origin of Mother U;R	Origin of Mother U;R	Origin of Mother U;R	Origin of Mother (umhisp	Origin of Mother (umhisp	Origin of Mother (umhisp	Origin of Mother (umhisp	Origin of Mother (umhisp	Origin of Mother (umhisp	Origin of Mother (umhisp	Origin of Mother (umhisp					
f_mpcb														Month Prenatal Care Began R	Month Prenatal Care Began R	Month Prenatal Care Began R	Month Prenatal Care Began (precare	Month Prenatal Care Began (precare	Month Prenatal Care Began (precare	Month Prenatal Care Began (precare	Month Prenatal Care Began (precare	Month Prenatal Care Began (precare	Month Prenatal Care Began (precare	Month Prenatal Care Began (precare	Reporting Flag for Month Prenatal Care Began 0 Non-Reporting	Reporting Flag for Month Prenatal Care Began 0 Non-Reporting	Reporting Flag for Month Prenatal Care Began 0 Non-Reporting	Reporting Flag for Month Prenatal Care Began 0 Non-Reporting	Reporting Flag for Month Prenatal Care Began 0 Non-Reporting
f_mpcb_u														Month Prenatal Care Began U	Month Prenatal Care Began U	Month Prenatal Care Began U	Month Prenatal Care Began (mpcb	Month Prenatal Care Began (mpcb	Month Prenatal Care Began (mpcb										
f_ob_cervic																Cervical Cerelage R	Cervical Cerelage (op_cerv) R	Cervical Cerelage (op_cerv) R	Cervical Cerelage (op_cerv) R	Cervical Cerelage (op_cerv) R	Cervical Cerelage (op_cerv) R	Cervical Cerelage (op_cerv) R	Cervical Cerelage (op_cerv) R	Cervical Cerelage (op_cerv) R					
f_ob_fail																Failed External Cephalic Version R	Failed External Cephalic Version (op_ecvf) R	Failed External Cephalic Version (op_ecvf) R	Failed External Cephalic Version (op_ecvf) R	Failed External Cephalic Version (op_ecvf) R	Failed External Cephalic Version (op_ecvf) R	Failed External Cephalic Version (op_ecvf) R	Failed External Cephalic Version (op_ecvf) R	Failed External Cephalic Version (op_ecvf) R	Reporting Flag for Failed External Cephalic Version 0 Non-Reporting	Reporting Flag for Failed External Cephalic Version 0 Non-Reporting	Reporting Flag for Failed External Cephalic Version 0 Non-Reporting	Reporting Flag for Failed External Cephalic Version 0 Non-Reporting	Reporting Flag for Failed External Cephalic Version 0 Non-Reporting
f_ob_succ																Successful External Cephalic Version R	Successful External Cephalic Version (op_ecvs) R	Successful External Cephalic Version (op_ecvs) R	Successful External Cephalic Version (op_ecvs) R	Successful External Cephalic Version (op_ecvs) R	Successful External Cephalic Version (op_ecvs) R	Successful External Cephalic Version (op_ecvs) R	Successful External Cephalic Version (op_ecvs) R	Successful External Cephalic Version (op_ecvs) R	Reporting Flag for Successful External Cephalic Version0 Non-Reporting	Reporting Flag for Successful External Cephalic Version0 Non-Reporting	Reporting Flag for Successful External Cephalic Version0 Non-Reporting	Reporting Flag for Successful External Cephalic Version0 Non-Reporting	Reporting Flag for Successful External Cephalic Version0 Non-Reporting
f_ob_toco																Tocolysis R	Tocolysis (op_tocol) R	Tocolysis (op_tocol) R	Tocolysis (op_tocol) R	Tocolysis (op_tocol) R	Tocolysis (op_tocol) R	Tocolysis (op_tocol) R	Tocolysis (op_tocol) R	Tocolysis (op_tocol) R					
f_on_precip																Precipitous Labor R	Precipitous Labor (on_precip) R	Precipitous Labor (on_precip) R	Precipitous Labor (on_precip) R	Precipitous Labor (on_precip) R	Precipitous Labor (on_precip) R	Precipitous Labor (on_precip) R	Precipitous Labor (on_precip) R	Precipitous Labor (on_precip) R					
f_on_prolong																Prolonged Labor R	Prolonged Labor (on_prol) R	Prolonged Labor (on_prol) R	Prolonged Labor (on_prol) R	Prolonged Labor (on_prol) R	Prolonged Labor (on_prol) R	Prolonged Labor (on_prol) R	Prolonged Labor (on_prol) R	Prolonged Labor (on_prol) R					
f_on_rupture																Premature Rupture of the Membranes R	Premature Rupture of the Membranes (on_ruptr) R	Premature Rupture of the Membranes (on_ruptr) R	Premature Rupture of the Membranes (on_ruptr) R	Premature Rupture of the Membranes (on_ruptr) R	Premature Rupture of the Membranes (on_ruptr) R	Premature Rupture of the Membranes (on_ruptr) R	Premature Rupture of the Membranes (on_ruptr) R	Premature Rupture of the Membranes (on_ruptr) R					
f_pay																				Source of Payment R	Source of Payment R	Source of Payment R	Source of Payment R	Source of Payment R	Reporting Flag for Source of Payment 0 Non-Reporting	Reporting Flag for Source of Payment 0 Non-Reporting	Reporting Flag for Source of Payment 0 Non-Reporting	Reporting Flag for Source of Payment 0 Non-Reporting	Reporting Flag for Source of Payment 0 Non-Reporting
f_pay_rec																				Payment Recode R	Payment Recode R	Payment Recode R	Payment Recode R	Payment Recode R	Reporting Flag for Payment Recode 0 Non-Reporting	Reporting Flag for Payment Recode 0 Non-Reporting	Reporting Flag for Payment Recode 0 Non-Reporting	Reporting Flag for Payment Recode 0 Non-Reporting	Reporting Flag for Payment Recode 0 Non-Reporting
f_pwgt																				Prepregnancy Weight (pwgt_r) R	Prepregnancy Weight (pwgt_r) R	Prepregnancy Weight (pwgt_r) R	Prepregnancy Weight (pwgt_r) R	Prepregnancy Weight (pwgt_r) R	Reporting Flag for Pre-pregnancy Weight 0 Non-Reporting	Reporting Flag for Pre-pregnancy Weight 0 Non-Reporting	Reporting Flag for Pre-pregnancy Weight 0 Non-Reporting	Reporting Flag for Pre-pregnancy Weight 0 Non-Reporting	Reporting Flag for Pre-pregnancy Weight 0 Non-Reporting
f_rdmeth_rec																				Method of Delivery Recode (rdmeth_rec) R	Method of Delivery Recode (rdmeth_rec) R	Method of Delivery Recode (rdmeth_rec) R	Method of Delivery Recode (rdmeth_rec) R	Method of Delivery Recode (rdmeth_rec) R					
f_rf_cesar																Previous Cesarean (rf_cesar) R	Previous Cesarean (rf_cesar) R	Previous Cesarean (rf_cesar) R	Previous Cesarean (rf_cesar) R	Previous Cesarean (rf_cesar) R	Previous Cesarean (rf_cesar) R	Previous Cesarean (rf_cesar) R	Previous Cesarean (rf_cesar) R	Previous Cesarean (rf_cesar) R	Reporting Flag for Previous Cesarean 0 Non-Reporting	Reporting Flag for Previous Cesarean 0 Non-Reporting	Reporting Flag for Previous Cesarean 0 Non-Reporting	Reporting Flag for Previous Cesarean 0 Non-Reporting	Reporting Flag for Previous Cesarean 0 Non-Reporting
f_rf_eclamp																Eclampsia R	Eclampsia (rf_eclam) R	Eclampsia (rf_eclam) R	Eclampsia (rf_eclam) R	Eclampsia (rf_eclam) R	Eclampsia (rf_eclam) R	Eclampsia (rf_eclam) R	Eclampsia (rf_eclam) R	Eclampsia (rf_eclam) R	Reporting Flag for Hypertension Eclampsia 0 Non-Reporting	Reporting Flag for Hypertension Eclampsia 0 Non-Reporting	Reporting Flag for Hypertension Eclampsia 0 Non-Reporting	Reporting Flag for Hypertension Eclampsia 0 Non-Reporting	Reporting Flag for Hypertension Eclampsia 0 Non-Reporting
f_rf_gdiab																Gestational Diabetes R	Gestational Diabetes (rf_gest) R	Gestational Diabetes (rf_gest) R	Gestational Diabetes (rf_gest) R	Gestational Diabetes (rf_gest) R	Gestational Diabetes (rf_gest) R	Gestational Diabetes (rf_gest) R	Gestational Diabetes (rf_gest) R	Gestational Diabetes (rf_gest) R	Reporting Flag for Gestational Diabetes 0 Non-Reporting	Reporting Flag for Gestational Diabetes 0 Non-Reporting	Reporting Flag for Gestational Diabetes 0 Non-Reporting	Reporting Flag for Gestational Diabetes 0 Non-Reporting	Reporting Flag for Gestational Diabetes 0 Non-Reporting
f_rf_ghyper																Gestational Hypertension R	Gestational Hypertension (rf_ghyp) R	Gestational Hypertension (rf_ghyp) R	Gestational Hypertension (rf_ghyp) R	Gestational Hypertension (rf_ghyp) R	Gestational Hypertension (rf_ghyp) R	Gestational Hypertension (rf_ghyp) R	Gestational Hypertension (rf_ghyp) R	Gestational Hypertension (rf_ghyp) R	Reporting Flag for Gestational Hypertension 0 Non-Reporting	Reporting Flag for Gestational Hypertension 0 Non-Reporting	Reporting Flag for Gestational Hypertension 0 Non-Reporting	Reporting Flag for Gestational Hypertension 0 Non-Reporting	Reporting Flag for Gestational Hypertension 0 Non-Reporting
